shape: 50*20*5*5
0.000945578 0
0.000752183 0
0.00991915 1
0.000497658 0
0.00217722 1
0.00153355 1
0.00406868 1
0.00721695 1
0.00119676 1
0.000372232 0
0.00243534 1
0.00238203 1
0.00124599 1
0.00111145 1
0.000305102 0
0.000853584 0
0.00182464 1
0.00243114 1
0.00336501 1
0.00940884 1
0.00115427 1
0.000304735 0
0.00310032 1
0.00378244 1
0.00506825 1
0.00892743 1
0.00375915 1
0.00426505 1
0.00135179 1
0.00213164 1
0.00555827 1
0.0017313 1
0.00265639 1
0.00794086 1
0.00519828 1
0.00114189 1
0.00227529 1
0.00493274 1
0.000321655 0
0.000839598 0
0.000824199 0
0.00369991 1
0.00108149 0
0.01094 1
0.019103 1
0.0101777 1
0.00861235 1
0.000492815 0
0.0024712 1
0.0017988 1
